[INFO ][2017-11-09 15:55:14,810][ContextLoader:305] Root WebApplicationContext: initialization started
[DEBUG][2017-11-09 15:55:15,090][MutablePropertySources:109] Adding [servletConfigInitParams] PropertySource with lowest search precedence
[DEBUG][2017-11-09 15:55:15,091][MutablePropertySources:109] Adding [servletContextInitParams] PropertySource with lowest search precedence
[DEBUG][2017-11-09 15:55:15,098][MutablePropertySources:109] Adding [jndiProperties] PropertySource with lowest search precedence
[DEBUG][2017-11-09 15:55:15,099][MutablePropertySources:109] Adding [systemProperties] PropertySource with lowest search precedence
[DEBUG][2017-11-09 15:55:15,103][MutablePropertySources:109] Adding [systemEnvironment] PropertySource with lowest search precedence
[DEBUG][2017-11-09 15:55:15,104][AbstractEnvironment:127] Initialized StandardServletEnvironment with PropertySources [servletConfigInitParams,servletContextInitParams,jndiProperties,systemProperties,systemEnvironment]
[DEBUG][2017-11-09 15:55:15,117][MutablePropertySources:174] Replacing [servletContextInitParams] PropertySource with [servletContextInitParams]
[INFO ][2017-11-09 15:55:15,125][AbstractApplicationContext:578] Refreshing Root WebApplicationContext: startup date [Thu Nov 09 15:55:15 CST 2017]; root of context hierarchy
[DEBUG][2017-11-09 15:55:15,202][MutablePropertySources:109] Adding [systemProperties] PropertySource with lowest search precedence
[DEBUG][2017-11-09 15:55:15,203][MutablePropertySources:109] Adding [systemEnvironment] PropertySource with lowest search precedence
[DEBUG][2017-11-09 15:55:15,204][AbstractEnvironment:127] Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
[INFO ][2017-11-09 15:55:15,224][XmlBeanDefinitionReader:317] Loading XML bean definitions from class path resource [spring/spring-context.xml]
[DEBUG][2017-11-09 15:55:15,237][DefaultDocumentLoader:73] Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
[DEBUG][2017-11-09 15:55:15,288][PluggableSchemaResolver:141] Loading schema mappings from [META-INF/spring.schemas]
