localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:40] "GET /gms-web/ HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:40] "GET /gms-web/login HTTP/1.1" 200 6380 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/plugins/uniform/css/uniform.default.css HTTP/1.1" 200 10851 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 26711 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/plugins/simple-line-icons/simple-line-icons.min.css HTTP/1.1" 200 9562 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/plugins/bootstrap-switch/css/bootstrap-switch.min.css HTTP/1.1" 200 6457 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/plugins/select2/css/select2-bootstrap.min.css HTTP/1.1" 200 15551 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/pages/css/login.min.css HTTP/1.1" 200 3274 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/plugins/jquery.min.js HTTP/1.1" 200 95962 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/css/plugins.min.css HTTP/1.1" 200 40028 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117974 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
